Fecha;Numero_horas_con_deambulacion;Numero_horas_estacionarias;Total_hrs_monitorizadas;Hrs_sin_registro;min_totales_en_movimiento;Total_min_de_ejercicio_diario;distancia_caminada_en_km;Numero_pasos_por_dia;FCr_promedio_diario;Gasto_calorico_activo;HRV_SDNN;FC_al_caminar_promedio_diario;ratio_mov;ratio_ejercicio;superavit_calorico;cobertura_monitorizacion;ratio_actividad_sedentaria
19/08/2019;13;4;17;7;132;64;7.673665996;8863;49;647.316;31.978925;93;0.129411765;0.484848485;28.88191857;0.708333333;3.25
20/08/2019;16;7;23;1;132;49;6.386586057;7782;45;554.707;65.00105;89.5;0.095652174;0.371212121;24.74989403;0.958333333;2.285714286
21/08/2019;18;6;24;0;132;60;9.06375237;10927;43;808.209;76.2253;85;0.091666667;0.454545455;36.06063581;1;3
22/08/2019;19;0;19;5;132;24;7.46573211;9403;50;890.829;62.61665;77.5;0.115789474;0.181818182;39.74697156;0.791666667;#¡DIV/0!
23/08/2019;16;4;20;4;132;68;7.329050859;8840;48;679.443;93.71383333;77;0.11;0.515151515;30.31535973;0.833333333;4
24/08/2019;18;6;24;0;132;29;7.351740906;9299;43;838.363;79.323;79.5;0.091666667;0.21969697;37.40604573;1;3
25/08/2019;16;7;23;1;132;26;5.14666521;6248;52;614.265;44.13561667;82;0.095652174;0.196969697;27.40725042;0.958333333;2.285714286
26/08/2019;17;6;23;1;132;68;10.63310457;12826;50;824.428;56.0228;80.75;0.095652174;0.515151515;36.78429448;0.958333333;2.833333333
27/08/2019;17;2;19;5;132;128;7.72983577;9677;43;1153.5931;71.300275;95;0.115789474;0.96969697;51.47096933;0.791666667;8.5
28/08/2019;15;7;22;2;132;86;9.025600014;14662.8;42;703.512;50.98436667;84;0.1;0.651515152;31.38926938;0.916666667;2.142857143
29/08/2019;15;7;22;2;132;20;4.857104797;6161;44;608.715;82.174475;86.25;0.1;0.151515152;27.15962075;0.916666667;2.142857143
30/08/2019;18;6;24;0;132;28;9.232706443;11647;45;1050.644;84.49416667;86;0.091666667;0.212121212;46.87759063;1;3
31/08/2019;15;3;18;6;132;14;6.152551421;7761;44;777.222;48.16433333;85;0.122222222;0.106060606;34.67805912;0.75;5
01/09/2019;16;7;23;1;132;134;10.97209922;19529.66;42;1195.96221;68.98582;100.5;0.095652174;1.015151515;53.36139253;0.958333333;2.285714286
02/09/2019;13;8;21;3;132;3;6.16086751;7888;42;713.067;106.035025;76;0.104761905;0.022727273;31.81559398;0.875;1.625
03/09/2019;18;7;25;-1;132;29;9.45885728;11829;37.45;887.943;81.06635;82.5;0.088;0.21969697;39.61820413;1.041666667;2.571428571
04/09/2019;16;8;24;0;132;14;6.34440787;8038;44;724.073;68.561975;93.5;0.091666667;0.106060606;32.30665923;1;2
05/09/2019;14;8;22;2;132;3;3.831796299;5036;56;505.80201;36.63545067;86.125;0.1;0.022727273;22.56785321;0.916666667;1.75
06/09/2019;17;6;23;1;132;64;7.04209293;9618;43;1019.525;81.77043333;83;0.095652174;0.484848485;45.48912437;0.958333333;2.833333333
07/09/2019;17;6;23;1;132;20;9.643080654;12547;44;887.774;92.530875;83;0.095652174;0.151515152;39.61066369;0.958333333;2.833333333
08/09/2019;16;9;25;-1;132;135.42;12.97356179;16728;48;925.634;109.8535648;90;0.088;1.025909091;41.29989961;1.041666667;1.777777778
09/09/2019;16;7;23;1;132;31;8.969294069;11203;47;981.244;60.07776667;67.5;0.095652174;0.234848485;43.78110429;0.958333333;2.285714286
10/09/2019;17;2;19;5;132;35;6.71717965;8402;49;809.528;74.57586;77;0.115789474;0.265151515;36.11948689;0.791666667;8.5
11/09/2019;16;7;23;1;132;18;7.29103785;9275;43;850.028;70.3635;83;0.095652174;0.136363636;37.92651422;0.958333333;2.285714286
12/09/2019;17;2;19;5;132;7;6.38036586;8030;44;717.574;76.584175;77;0.115789474;0.053030303;32.01668712;0.791666667;8.5
13/09/2019;15;8;23;1;132;7;6.24392501;7966;41;659.079;80.34286;84;0.095652174;0.053030303;29.40675962;0.958333333;1.875
14/09/2019;18;4;22;2;132;17;6.511711295;8858;43;775.34;61.058475;79;0.1;0.128787879;34.59408812;0.916666667;4.5
15/09/2019;14;10;24;0;132;21;3.698204304;4766.91;41;619.806;69.97178333;95;0.091666667;0.159090909;27.65447853;1;1.4
16/09/2019;8;8;16;8;132;41;5.00671781;6308;46;659.357;93.1924;78;0.1375;0.310606061;29.41916341;0.666666667;1
17/09/2019;19;0;19;5;132;22;8.380725999;10584;52;914.311;45.4936;84.5;0.115789474;0.166666667;40.79469046;0.791666667;#¡DIV/0!
18/09/2019;17;6;23;1;132;45;6.04333266;10643;42;694.959;81.5495;84;0.095652174;0.340909091;31.00765198;0.958333333;2.833333333
19/09/2019;16;7;23;1;132;29;8.264663575;10227;46;868.148;60.40006667;86;0.095652174;0.21969697;38.73499163;0.958333333;2.285714286
20/09/2019;15;8;23;1;132;16;5.527706374;6836;44.9123;660.279;95.96524;97.5;0.095652174;0.121212121;29.46030117;0.958333333;1.875
21/09/2019;17;6;23;1;132;12;5.242358974;6667;45;681.383;58.2487;81.5;0.095652174;0.090909091;30.40191857;0.958333333;2.833333333
22/09/2019;15;3;18;6;132;82;6.853190472;16106;44;844.344;87.4921;81;0.122222222;0.621212121;37.67290574;0.75;5
23/09/2019;17;7;24;0;132;17;5.799341002;7296;47;722.341;73.4686;84.5;0.091666667;0.128787879;32.22938093;1;2.428571429
24/09/2019;16;6;22;2;132;49;7.484472456;9171;45;658.105;47.46826667;74.5;0.1;0.371212121;29.36330173;0.916666667;2.666666667
25/09/2019;17;8;25;-1;132;100;7.943421214;12107;44;780.052;66.30823333;78;0.088;0.757575758;34.80432794;1.041666667;2.125
26/09/2019;14;10;24;0;132;20;8.833021351;11499;41;972.036;89.90852;83;0.091666667;0.151515152;43.37026213;1;1.4
