archivo,variable,count,mean,std,var,min,p10,median,p90,max,iqr,cv,mad_scaled
DB_final_v3_u10,Numero_horas_estacionarias,853,2.2192262602579134,1.9068706664722472,3.6361557386523122,0.0,0.0,2.0,4.0,16.0,2.0,0.8592502263607115,1.4826
DB_final_v3_u10,Total_hrs_monitorizadas,853,12.046893317702228,4.0813506157807815,16.657422848934168,1.0,6.0,13.0,16.0,28.0,5.0,0.338788641033574,2.9652
DB_final_v3_u10,Hrs_sin_registro,853,11.953106682297772,4.0813506157807815,16.657422848934168,-4.0,8.0,11.0,18.0,23.0,5.0,0.3414468492802086,2.9652
DB_final_v3_u10,min_totales_en_movimiento,853,72.69402110199296,52.49993449031928,2756.2431214878166,1.0,17.0,62.0,131.0,360.0,64.0,0.7222042981589851,45.9606
DB_final_v3_u10,Total_min_de_ejercicio_diario,853,30.119906213364594,34.76135426678134,1208.351750460677,1.0,2.080000000000001,13.0,79.80000000000007,265.25,51.0,1.1540990207784005,14.825999999999999
DB_final_v3_u10,distancia_caminada_en_km,853,3.236356008913982,1.7944728812779325,3.2201329216419246,0.10784303776,1.105813981,3.01565337,5.394625790600002,12.6741490132,2.2068880459999995,0.5544732644787433,1.6232148189095998
DB_final_v3_u10,Numero_pasos_por_dia,853,4443.470550996482,2477.749504457046,6139242.606837138,145.72,1603.8000000000002,4183.0,7225.000000000005,18961.0,2904.0,0.557615826642846,2123.0832
DB_final_v3_u10,FCr_promedio_diario,853,57.15678671629543,8.352225927778683,69.75967794865848,40.6,50.0,56.0,65.0,118.16848,7.0,0.14612833239272108,4.4478
DB_final_v3_u10,Gasto_calorico_activo,853,353.91936992966,248.94335266096846,61972.79283408332,0.20585,119.95111200000001,293.038,696.3746000000007,1801.4952300000004,220.28500000000003,0.7033900199088988,152.82789060000002
DB_final_v3_u10,HRV_SDNN,853,53.320520636430246,12.856795888738047,165.29720052467155,16.067644,37.3020001,52.8915,69.23800666666669,108.4974,16.335300000000004,0.24112284980116797,11.997693400000003
DB_final_v3_u10,FC_al_caminar_promedio_diario,853,98.34478241500587,8.770689585697212,76.92499580865754,70.0,89.0,97.75,107.90000000000003,147.0,9.0,0.08918306970964372,7.04235
DB_final_v3_u2,Numero_horas_con_deambulacion,50,12.6,3.4992710611188262,12.244897959183676,1.0,7.9,13.0,16.0,17.0,4.0,0.27771992548562113,2.9652
DB_final_v3_u2,Numero_horas_estacionarias,50,1.32,1.5576015051930296,2.4261224489795916,0.0,0.0,1.0,3.1000000000000014,7.0,2.0,1.1800011402977497,1.4826
DB_final_v3_u2,Total_hrs_monitorizadas,50,13.98,3.3775368394794474,11.407755102040815,3.0,8.0,15.0,17.0,17.0,2.0,0.24159777106433813,1.4826
DB_final_v3_u2,Hrs_sin_registro,50,10.02,3.3775368394794474,11.407755102040815,7.0,7.0,9.0,16.0,21.0,2.0,0.33707952489814846,1.4826
DB_final_v3_u2,min_totales_en_movimiento,50,132.22,64.5813171947758,4170.746530612245,4.0,31.8,141.0,216.0,252.0,81.5,0.48843833909223877,62.2692
DB_final_v3_u2,Total_min_de_ejercicio_diario,50,21.2944,16.874580830470478,284.7514782040817,1.2,3.0,15.5,43.60000000000001,66.68,20.25,0.7924421834130324,13.343399999999999
DB_final_v3_u2,distancia_caminada_en_km,50,6.024590448883999,3.149171114086131,9.917278705794486,0.316621822,1.5713814799999999,6.2508215,10.109753110000002,12.859256056999996,4.7362845375,0.5227195343493409,3.3647220412049994
DB_final_v3_u2,Numero_pasos_por_dia,50,7717.966399999999,3939.5734467500147,15520238.942337792,423.4,2132.6,7766.0,12654.300000000001,16511.339999999997,6102.25,0.5104419017359307,4851.0671999999995
DB_final_v3_u2,FCr_promedio_diario,50,61.546890000000005,7.290844197704685,53.15640911520408,47.0,51.0,61.5,70.0,82.2,5.75,0.11845999363582278,4.4478
DB_final_v3_u2,Gasto_calorico_activo,50,416.9270016,206.4957304507755,42640.48669439934,0.40008,102.4606,477.56550000000004,663.6726440000001,805.6388799999999,283.33674999999994,0.4952803000485146,167.39962469999995
DB_final_v3_u2,HRV_SDNN,50,41.03162569333333,10.058642173429615,101.17628237309684,15.9564685,30.6524125,41.377266666666664,53.25458,65.11821250000001,11.999166666666667,0.24514364233596295,8.958196607500001
